评论,情绪,原因,问题
这游戏真好玩，画面精美，剧情也很吸引人！,正面,用户明确表达了对游戏画面、剧情和整体体验的积极评价,无
太卡了，而且氪金太严重，玩不下去,负面,用户抱怨游戏卡顿和氪金严重导致体验不佳,"性能问题（卡顿）, 付费设计（氪金严重）"
希望能优化一下匹配机制，经常遇到挂机队友,负面,用户对匹配机制和挂机队友表达了不满,"匹配机制不合理, 队友挂机问题"
良心游戏，不花钱也能玩得很开心，推荐！,正面,用户称赞游戏免费且体验愉快，并主动推荐。,无
垃圾游戏，全是bug，已经卸载了,负面,用户表达强烈不满并已卸载游戏,游戏存在大量bug
虽然有点卡，但总体来说挺好玩的,正面,用户肯定了游戏的核心趣味性，仅指出轻微技术问题,游戏运行卡顿
策划脑子有坑吗？这平衡性怎么做的,负面,用户直接批评游戏平衡性设计并质疑策划能力,"游戏平衡性差, 策划设计不合理"
活动福利挺好的，希望多出一些,正面,用户肯定活动福利，并表达了对更多类似内容的期待。,无
抽卡概率太低了，充了500块什么都没抽到,负面,用户因高额充值未获得期望回报而表达强烈不满,"抽卡概率过低, 充值价值感缺失"
服务器经常掉线，体验很差，但客服态度不错,负面,核心游戏体验问题（服务器掉线）严重，客服态度好不足以抵消,"服务器掉线, 体验差"
